epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7941,2.28735,3.33395,1.99124,0.00113,0.24286,0.02985,0.0065,3.209,4.86634,2.83229,0.00011,0.00011,0.08911
2,87.7477,2.07302,2.8021,1.82862,0.00127,0.27143,0.03139,0.01028,2.83791,4.25541,2.71542,0.000229986,0.000229986,0.07723
3,125.577,1.90986,2.24787,1.72559,0.42488,0.53436,0.41113,0.20728,2.33286,3.57155,2.05453,0.000349915,0.000349915,0.0653499
4,163.187,1.90484,2.00342,1.64981,0.53603,0.34286,0.32025,0.13101,1.94381,3.29338,1.83652,0.000469742,0.000469742,0.0534697
5,203.084,1.83678,1.98281,1.60901,0.79406,0.27143,0.40018,0.19679,1.73576,2.64029,1.65681,0.000589424,0.000589424,0.0415894
6,271.276,1.76465,1.80325,1.58458,0.79733,0.33541,0.48334,0.207,1.72785,2.19046,1.75303,0.000708917,0.000708917,0.0297089
7,335.687,1.87629,1.69896,1.63198,0.26964,0.35714,0.44823,0.20745,1.72603,2.01727,1.7992,0.000828177,0.000828177,0.0178282
8,404.02,1.77595,1.70651,1.57405,0.81778,0.28571,0.4461,0.1877,1.75586,2.34979,1.77894,0.00094716,0.00094716,0.00594716
9,472.29,1.75481,1.68837,1.61167,0.50885,0.73784,0.60283,0.2434,1.74834,1.9544,1.80027,0.000996097,0.000996097,0.000996097
10,540.57,1.76127,1.60835,1.58811,0.63379,0.58967,0.63868,0.291,1.71357,1.80676,1.79776,0.000995062,0.000995062,0.000995062
11,608.946,1.76422,1.7279,1.63183,0.5109,0.70371,0.6154,0.28097,1.7681,1.91403,1.78061,0.000993906,0.000993906,0.000993906
12,648.892,1.77047,1.67791,1.57673,0.51786,0.66795,0.64746,0.25613,1.75838,2.04971,1.75615,0.000992629,0.000992629,0.000992629
13,685.946,1.72761,1.58596,1.50724,0.57433,0.77606,0.71849,0.35632,1.75528,2.23374,1.8311,0.000991232,0.000991232,0.000991232
14,740.633,1.77467,1.57888,1.57066,0.64599,0.83087,0.75016,0.3785,1.76555,2.21446,1.78209,0.000989715,0.000989715,0.000989715
15,809.377,1.69835,1.57478,1.54332,0.66983,0.74981,0.76624,0.36089,1.7241,1.83141,1.68948,0.000988079,0.000988079,0.000988079
16,876.344,1.68386,1.54678,1.5172,0.63424,0.75803,0.77822,0.36656,1.73285,1.83503,1.66366,0.000986323,0.000986323,0.000986323
17,944.355,1.65345,1.55029,1.48747,0.6453,0.77349,0.77052,0.38982,1.61489,1.83225,1.58966,0.000984449,0.000984449,0.000984449
18,1012.99,1.66234,1.46464,1.49565,0.70112,0.67838,0.73734,0.39078,1.58085,1.87225,1.60014,0.000982456,0.000982456,0.000982456
19,1082.81,1.70046,1.56789,1.53762,0.69496,0.60327,0.70651,0.37313,1.61561,1.82863,1.71059,0.000980345,0.000980345,0.000980345
20,1151.17,1.69738,1.4643,1.5065,0.6249,0.63571,0.69012,0.37587,1.64545,1.66743,1.73973,0.000978118,0.000978118,0.000978118
21,1204.81,1.68664,1.48207,1.52907,0.68136,0.72046,0.73771,0.39294,1.59965,1.54742,1.68056,0.000975773,0.000975773,0.000975773
22,1241.03,1.646,1.3836,1.49937,0.74191,0.761,0.75908,0.39115,1.56641,1.55887,1.63943,0.000973312,0.000973312,0.000973312
23,1277.59,1.60282,1.43026,1.49482,0.7115,0.84595,0.81849,0.42025,1.56798,1.4826,1.61302,0.000970736,0.000970736,0.000970736
24,1314.26,1.66696,1.46659,1.53987,0.68618,0.81057,0.77778,0.36823,1.58833,1.56852,1.64251,0.000968045,0.000968045,0.000968045
25,1351.26,1.62954,1.36443,1.48998,0.77146,0.80386,0.81267,0.39548,1.6385,1.53317,1.66306,0.000965239,0.000965239,0.000965239
26,1388.57,1.6972,1.39573,1.50482,0.77053,0.70618,0.7487,0.36902,1.65746,1.65409,1.67501,0.00096232,0.00096232,0.00096232
27,1425.86,1.62883,1.34185,1.43759,0.83975,0.71892,0.7866,0.4105,1.57065,1.69799,1.60608,0.000959289,0.000959289,0.000959289
28,1462.85,1.5859,1.34329,1.48853,0.85561,0.71082,0.79438,0.40173,1.57185,1.62142,1.57193,0.000956145,0.000956145,0.000956145
29,1499.99,1.62402,1.37374,1.51471,0.80194,0.75478,0.76394,0.37734,1.56613,1.46892,1.57666,0.000952889,0.000952889,0.000952889
30,1562.17,1.66127,1.33949,1.46311,0.80468,0.77452,0.77915,0.37963,1.60504,1.50671,1.60933,0.000949524,0.000949524,0.000949524
31,1630.64,1.61255,1.36109,1.50327,0.70725,0.74595,0.77671,0.3889,1.60629,1.59937,1.60312,0.000946048,0.000946048,0.000946048
32,1688.71,1.62333,1.40805,1.47886,0.84091,0.68037,0.79862,0.41719,1.56394,1.52696,1.5706,0.000942464,0.000942464,0.000942464
33,1726.16,1.57378,1.31531,1.47796,0.74372,0.7332,0.76552,0.41293,1.6155,1.50374,1.60692,0.000938772,0.000938772,0.000938772
34,1794.8,1.55325,1.25074,1.44433,0.77523,0.72201,0.78795,0.41205,1.6191,1.53271,1.59147,0.000934973,0.000934973,0.000934973
35,1864,1.58173,1.27297,1.42679,0.66569,0.79978,0.77259,0.40408,1.62944,1.5486,1.57223,0.000931067,0.000931067,0.000931067
36,1931.4,1.55903,1.24805,1.41219,0.74594,0.70741,0.79148,0.41651,1.60666,1.51939,1.58485,0.000927057,0.000927057,0.000927057
37,1999.84,1.49055,1.25257,1.4058,0.76981,0.77529,0.8189,0.45181,1.50949,1.38505,1.54382,0.000922942,0.000922942,0.000922942
38,2068.77,1.56711,1.30473,1.48995,0.8158,0.8166,0.83438,0.4293,1.50566,1.44575,1.56843,0.000918725,0.000918725,0.000918725
